departamento,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
AMAZONAS,299675,190006,63.403999999999996,97.738,99.005,1094,11,1080,0.995,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,879008,643532,73.21100000000001,99.194,100,3102,0,3077,0,0,2021-06-08T12:52:00Z,94.78760000000001
APURIMAC,313807,225741,71.936,99.289,100,1125,0,1117,0,0,2021-06-08T12:52:00Z,94.78760000000001
AREQUIPA,1135131,904750,79.70400000000001,99.114,100,3950,0,3915,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,423764,305421,72.073,89.613,90.082,1535,169,1527,9.918,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,1095625,759147,69.289,99.295,100,3828,0,3801,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,977978,745605,76.239,95.32,95.661,3373,153,3361,4.339,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,274792,191053,69.526,91.865,92.596,1013,81,1005,7.404,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,584929,404200,69.10199999999999,99.756,100,2051,0,2046,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,645683,516115,79.933,99.145,100,2223,0,2204,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,957320,714272,74.612,97.285,98.336,3368,57,3332,1.6640000000000001,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,1410135,1048378,74.346,98.66,100,4852,0,4787,0,0,2021-06-08T12:52:00Z,94.78760000000001
LAMBAYEQUE,972729,742181,76.299,99.49000000000001,100,3333,0,3316,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,8129590,6477986,79.684,97.692,100,27942,0,27297,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,628975,399100,63.452,89.465,91.221,2182,210,2140,8.779,0,2021-06-08T12:52:00Z,94.78760000000001
MADRE DE DIOS,113584,84026,73.977,97.475,99.242,393,3,386,0.758,0,2021-06-08T12:52:00Z,94.78760000000001
MOQUEGUA,147489,115600,78.37899999999999,99.427,100,524,0,521,0,0,2021-06-08T12:52:00Z,94.78760000000001
PASCO,199514,134302,67.315,99.424,100,695,0,691,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,1370289,1032431,75.34400000000001,98.17099999999999,100,4811,0,4723,0,0,2021-06-08T12:52:00Z,94.78760000000001
PUNO,919330,754691,82.09100000000001,99.715,100,3163,0,3154,0,0,2021-06-08T12:52:00Z,94.78760000000001
SAN MARTIN,631756,461543,73.057,99.269,100,2188,0,2172,0,0,2021-06-08T12:52:00Z,94.78760000000001
TACNA,279720,221978,79.357,98.871,100,974,0,963,0,0,2021-06-08T12:52:00Z,94.78760000000001
TUMBES,165623,129688,78.303,98.606,100,574,0,566,0,0,2021-06-08T12:52:00Z,94.78760000000001
CALLAO,808366,642766,79.51400000000001,98.039,100,2754,0,2700,0,0,2021-06-08T12:52:00Z,94.78760000000001
UCAYALI,380694,263424,69.196,97.646,100,1317,0,1286,0,0,2021-06-08T12:52:00Z,94.78760000000001
